"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Basallo, Samuel","694212","2026",67,69,78,77,51,61,71,94,83,89,29,43,12,16,,11,,86,67,23
"Bleday, JJ","668709","2026",,,,,,,,,89,,,,,,,59,,,,
"Ramírez, Agustín","682663","2026",19,25,11,13,37,19,22,46,97,47,50,58,19,66,,57,,93,10,23
"Domínguez, Jasson","691176","2026",,,,,,,,,73,,,,,,,41,,,,
"Hinds, Rece","677956","2026",,,,,,,,,58,,,,,,,83,,,,
"Walls, Taylor","670764","2026",1,1,1,1,8,1,1,1,5,1,34,70,75,69,28,65,71,,,
"Alvarez, Yordan","670541","2026",100,100,100,100,100,98,95,97,100,93,87,83,76,65,,4,,91,61,23
"Caglianone, Jac","695506","2026",59,48,68,75,41,81,90,93,98,93,14,39,18,36,100,49,24,96,42,5
"Myers, Dane","667472","2026",,,,,,,,,21,,,,,,,46,67,,,
"Okamoto, Kazuma","672960","2026",83,57,91,94,59,90,91,93,89,94,20,68,15,77,,23,71,72,61,5
"Langeliers, Shea","669127","2026",97,99,97,96,86,94,89,90,96,80,52,42,52,27,,86,,86,35,53
"Kemp, Otto","805249","2026",,,,,,,,,6,,,,,,,69,,,,
"Heim, Jonah","641680","2026",,,,,,,,,15,,,,,,,9,,,,
"Langford, Wyatt","694671","2026",17,51,26,22,14,12,22,72,54,33,44,11,50,51,55,72,83,,,
"Jeffers, Ryan","680777","2026",84,51,78,83,83,78,85,79,85,58,74,88,85,80,,27,,70,49,62
"Williams, Carson","700246","2026",,,,,,,,,65,,,,,,,51,,,,
"Ballesteros, Moisés","694208","2026",61,55,71,74,44,73,84,67,79,80,69,49,31,15,,4,,63,70,62
"Barger, Addison","680718","2026",,,,,,,,,44,,,,,,,24,,,,
"Steer, Spencer","668715","2026",84,69,91,91,65,90,92,61,34,36,40,37,56,75,41,83,27,32,71,44
