date,game_pk,game_time_utc,team,opponent,home_away,slot,batter_id,batter_name,opp_starter_id,opp_starter_name,stand,opp_throws
2026-08-09,822700,2026-08-09T16:15:00Z,Washington Nationals,Cincinnati Reds,home,1,682928,CJ Abrams,663903,Brady Singer,L,R
2026-08-09,822700,2026-08-09T16:15:00Z,Washington Nationals,Cincinnati Reds,home,2,694673,Abimelec Ortiz,663903,Brady Singer,L,R
2026-08-09,822700,2026-08-09T16:15:00Z,Washington Nationals,Cincinnati Reds,home,3,665953,Andrés Chaparro,663903,Brady Singer,R,R
2026-08-09,822700,2026-08-09T16:15:00Z,Washington Nationals,Cincinnati Reds,home,4,677588,José Tena,663903,Brady Singer,L,R
2026-08-09,822700,2026-08-09T16:15:00Z,Washington Nationals,Cincinnati Reds,home,5,691781,Brady House,663903,Brady Singer,R,R
2026-08-09,822700,2026-08-09T16:15:00Z,Washington Nationals,Cincinnati Reds,home,6,695734,Daylen Lile,663903,Brady Singer,L,R
2026-08-09,822700,2026-08-09T16:15:00Z,Washington Nationals,Cincinnati Reds,home,7,686611,Dylan Crews,663903,Brady Singer,R,R
2026-08-09,822700,2026-08-09T16:15:00Z,Washington Nationals,Cincinnati Reds,home,8,678391,Jorbit Vivas,663903,Brady Singer,L,R
2026-08-09,822700,2026-08-09T16:15:00Z,Washington Nationals,Cincinnati Reds,home,9,687605,Andrew Pinckney,663903,Brady Singer,R,R
2026-08-09,822700,2026-08-09T16:15:00Z,Cincinnati Reds,Washington Nationals,away,1,682829,Elly De La Cruz,695418,Brad Lord,L,R
2026-08-09,822700,2026-08-09T16:15:00Z,Cincinnati Reds,Washington Nationals,away,2,701398,Sal Stewart,695418,Brad Lord,R,R
2026-08-09,822700,2026-08-09T16:15:00Z,Cincinnati Reds,Washington Nationals,away,3,668709,JJ Bleday,695418,Brad Lord,L,R
2026-08-09,822700,2026-08-09T16:15:00Z,Cincinnati Reds,Washington Nationals,away,4,663886,Tyler Stephenson,695418,Brad Lord,R,R
2026-08-09,822700,2026-08-09T16:15:00Z,Cincinnati Reds,Washington Nationals,away,5,553993,Eugenio Suárez,695418,Brad Lord,R,R
2026-08-09,822700,2026-08-09T16:15:00Z,Cincinnati Reds,Washington Nationals,away,6,699302,Héctor Rodríguez,695418,Brad Lord,L,R
2026-08-09,822700,2026-08-09T16:15:00Z,Cincinnati Reds,Washington Nationals,away,7,667472,Dane Myers,695418,Brad Lord,R,R
2026-08-09,822700,2026-08-09T16:15:00Z,Cincinnati Reds,Washington Nationals,away,8,680574,Matt McLain,695418,Brad Lord,R,R
2026-08-09,822700,2026-08-09T16:15:00Z,Cincinnati Reds,Washington Nationals,away,9,663647,Ke'Bryan Hayes,695418,Brad Lord,R,R
2026-08-09,824724,2026-08-09T17:35:00Z,Boston Red Sox,Athletics,home,1,686765,Nick Sogard,669372,J.T. Ginn,L,R
2026-08-09,824724,2026-08-09T17:35:00Z,Boston Red Sox,Athletics,home,2,678882,Ceddanne Rafaela,669372,J.T. Ginn,R,R
2026-08-09,824724,2026-08-09T17:35:00Z,Boston Red Sox,Athletics,home,3,677800,Wilyer Abreu,669372,J.T. Ginn,L,R
2026-08-09,824724,2026-08-09T17:35:00Z,Boston Red Sox,Athletics,home,4,575929,Willson Contreras,669372,J.T. Ginn,R,R
