date,game_pk,game_time_utc,team,opponent,home_away,slot,batter_id,batter_name,opp_starter_id,opp_starter_name,bats,opp_throws,stand
2026-08-18,824803,2026-08-18T22:35:00Z,Baltimore Orioles,New York Yankees,home,1,702616,Jackson Holliday,607074,Carlos Rodón,L,L,L
2026-08-18,824803,2026-08-18T22:35:00Z,Baltimore Orioles,New York Yankees,home,2,624413,Pete Alonso,607074,Carlos Rodón,R,L,R
2026-08-18,824803,2026-08-18T22:35:00Z,Baltimore Orioles,New York Yankees,home,3,641933,Tyler O'Neill,607074,Carlos Rodón,R,L,R
2026-08-18,824803,2026-08-18T22:35:00Z,Baltimore Orioles,New York Yankees,home,4,691723,Coby Mayo,607074,Carlos Rodón,R,L,R
2026-08-18,824803,2026-08-18T22:35:00Z,Baltimore Orioles,New York Yankees,home,5,683002,Gunnar Henderson,607074,Carlos Rodón,L,L,L
2026-08-18,824803,2026-08-18T22:35:00Z,Baltimore Orioles,New York Yankees,home,6,687952,Christian Encarnacion-Strand,607074,Carlos Rodón,R,L,R
2026-08-18,824803,2026-08-18T22:35:00Z,Baltimore Orioles,New York Yankees,home,7,665750,Leody Taveras,607074,Carlos Rodón,S,L,R
2026-08-18,824803,2026-08-18T22:35:00Z,Baltimore Orioles,New York Yankees,home,8,681047,Christian Franklin,607074,Carlos Rodón,R,L,R
2026-08-18,824803,2026-08-18T22:35:00Z,Baltimore Orioles,New York Yankees,home,9,665966,Carlos Narváez,607074,Carlos Rodón,R,L,R
2026-08-18,824803,2026-08-18T22:35:00Z,New York Yankees,Baltimore Orioles,away,1,663757,Trent Grisham,669358,Shane Baz,L,R,L
2026-08-18,824803,2026-08-18T22:35:00Z,New York Yankees,Baltimore Orioles,away,2,700250,Ben Rice,669358,Shane Baz,L,R,L
2026-08-18,824803,2026-08-18T22:35:00Z,New York Yankees,Baltimore Orioles,away,3,671218,Heliot Ramos,669358,Shane Baz,R,R,R
2026-08-18,824803,2026-08-18T22:35:00Z,New York Yankees,Baltimore Orioles,away,4,671277,Luis García Jr.,669358,Shane Baz,L,R,L
2026-08-18,824803,2026-08-18T22:35:00Z,New York Yankees,Baltimore Orioles,away,5,682987,Spencer Jones,669358,Shane Baz,L,R,L
2026-08-18,824803,2026-08-18T22:35:00Z,New York Yankees,Baltimore Orioles,away,6,665862,Jazz Chisholm Jr.,669358,Shane Baz,L,R,L
2026-08-18,824803,2026-08-18T22:35:00Z,New York Yankees,Baltimore Orioles,away,7,806146,George Lombard Jr.,669358,Shane Baz,R,R,R
2026-08-18,824803,2026-08-18T22:35:00Z,New York Yankees,Baltimore Orioles,away,8,641857,Ryan McMahon,669358,Shane Baz,L,R,L
2026-08-18,824803,2026-08-18T22:35:00Z,New York Yankees,Baltimore Orioles,away,9,669224,Austin Wells,669358,Shane Baz,L,R,L
2026-08-18,823341,2026-08-18T22:40:00Z,Pittsburgh Pirates,Detroit Tigers,home,1,687462,Spencer Horwitz,672456,Keider Montero,L,R,L
2026-08-18,823341,2026-08-18T22:40:00Z,Pittsburgh Pirates,Detroit Tigers,home,2,664040,Brandon Lowe,672456,Keider Montero,L,R,L
2026-08-18,823341,2026-08-18T22:40:00Z,Pittsburgh Pirates,Detroit Tigers,home,3,668804,Bryan Reynolds,672456,Keider Montero,S,R,L
2026-08-18,823341,2026-08-18T22:40:00Z,Pittsburgh Pirates,Detroit Tigers,home,4,699013,Esmerlyn Valdez,672456,Keider Montero,R,R,R
2026-08-18,823341,2026-08-18T22:40:00Z,Pittsburgh Pirates,Detroit Tigers,home,5,665833,Oneil Cruz,672456,Keider Montero,L,R,L
2026-08-18,823341,2026-08-18T22:40:00Z,Pittsburgh Pirates,Detroit Tigers,home,6,663968,Jake Mangum,672456,Keider Montero,S,R,L
2026-08-18,823341,2026-08-18T22:40:00Z,Pittsburgh Pirates,Detroit Tigers,home,7,804668,Rafael Flores Jr.,672456,Keider Montero,R,R,R
2026-08-18,823341,2026-08-18T22:40:00Z,Pittsburgh Pirates,Detroit Tigers,home,8,694378,Jacob Gonzalez,672456,Keider Montero,L,R,L
2026-08-18,823341,2026-08-18T22:40:00Z,Pittsburgh Pirates,Detroit Tigers,home,9,669707,Jared Triolo,672456,Keider Montero,R,R,R
2026-08-18,823341,2026-08-18T22:40:00Z,Detroit Tigers,Pittsburgh Pirates,away,1,650402,Gleyber Torres,677952,Braxton Ashcraft,R,R,R
2026-08-18,823341,2026-08-18T22:40:00Z,Detroit Tigers,Pittsburgh Pirates,away,2,805808,Kevin McGonigle,677952,Braxton Ashcraft,L,R,L
2026-08-18,823341,2026-08-18T22:40:00Z,Detroit Tigers,Pittsburgh Pirates,away,3,690993,Colt Keith,677952,Braxton Ashcraft,L,R,L
2026-08-18,823341,2026-08-18T22:40:00Z,Detroit Tigers,Pittsburgh Pirates,away,4,680664,Eduardo Valencia,677952,Braxton Ashcraft,R,R,R
2026-08-18,823341,2026-08-18T22:40:00Z,Detroit Tigers,Pittsburgh Pirates,away,5,656716,Zach McKinstry,677952,Braxton Ashcraft,L,R,L
2026-08-18,823341,2026-08-18T22:40:00Z,Detroit Tigers,Pittsburgh Pirates,away,6,679529,Spencer Torkelson,677952,Braxton Ashcraft,R,R,R
2026-08-18,823341,2026-08-18T22:40:00Z,Detroit Tigers,Pittsburgh Pirates,away,7,814430,Brett Callahan,677952,Braxton Ashcraft,L,R,L
2026-08-18,823341,2026-08-18T22:40:00Z,Detroit Tigers,Pittsburgh Pirates,away,8,703601,Max Clark,677952,Braxton Ashcraft,L,R,L
2026-08-18,823341,2026-08-18T22:40:00Z,Detroit Tigers,Pittsburgh Pirates,away,9,595879,Javier Báez,677952,Braxton Ashcraft,R,R,R
2026-08-18,824398,2026-08-18T22:40:00Z,Cleveland Guardians,San Francisco Giants,home,1,680757,Steven Kwan,687931,Carson Whisenhunt,L,L,L
2026-08-18,824398,2026-08-18T22:40:00Z,Cleveland Guardians,San Francisco Giants,home,2,608070,José Ramírez,687931,Carson Whisenhunt,S,L,R
2026-08-18,824398,2026-08-18T22:40:00Z,Cleveland Guardians,San Francisco Giants,home,3,666176,Jo Adell,687931,Carson Whisenhunt,R,L,R
2026-08-18,824398,2026-08-18T22:40:00Z,Cleveland Guardians,San Francisco Giants,home,4,682657,Angel Martínez,687931,Carson Whisenhunt,S,L,R
2026-08-18,824398,2026-08-18T22:40:00Z,Cleveland Guardians,San Francisco Giants,home,5,656555,Rhys Hoskins,687931,Carson Whisenhunt,R,L,R
2026-08-18,824398,2026-08-18T22:40:00Z,Cleveland Guardians,San Francisco Giants,home,6,694197,Angel Genao,687931,Carson Whisenhunt,S,L,R
2026-08-18,824398,2026-08-18T22:40:00Z,Cleveland Guardians,San Francisco Giants,home,7,683953,Travis Bazzana,687931,Carson Whisenhunt,L,L,L
